StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,anxious,overwhelmed,unmotivated,relaxed,energetic,motivated,AHS1,AHS2,AHS3,AHS4,AHS5,AHS6,AHS7,AHS8,AHS9,AHS10,AHS11,AHS12,FSQ_Similarity1,FSQ_Similarity2,FSQ_Similarity3,FSQ_Similarity4,FSQ_Vividness1,FSQ_Vividness2,FSQ_Vividness3,FSQ_Positivity1,FSQ_Positivity2,FSQ_Positivity3,user_id,cond
2025-10-06 17:47:31,2025-10-06 17:54:02,0,75.65.24.102,100,391,1,2025-10-06 17:54:03,R_7JaUl6W4ONQhPMd,,,,,35.056,-89.8598,anonymous,EN,1,7,7,7,1,1,1,5,4,7,5,2,6,8,3,1,1,8,1,4,4,4,4,1,1,1,3,3,3,660b1447c1e2bd7f4969dd42,avatar
2025-10-06 17:52:36,2025-10-06 17:54:13,0,172.225.30.21,100,96,1,2025-10-06 17:54:13,R_1mml7pEspCFgxsW,,,,,39.0469,-77.4903,anonymous,EN,1,1,1,1,7,7,5,6,7,3,5,1,7,5,5,7,4,7,5,5,5,5,5,5,5,3,5,3,5,6797d5ada6654ec99f741b08,voice
2025-10-06 17:53:08,2025-10-06 17:56:15,0,107.140.107.240,100,187,1,2025-10-06 17:56:15,R_5qEmKzEhknDjj93,,,,,41.6055,-81.4654,anonymous,EN,1,1,1,1,7,3,5,8,8,8,8,2,8,5,8,8,8,2,7,5,5,5,5,4,4,5,4,6,5,63e55bb2f8e6aec6a4031bd8,voice
2025-10-06 17:42:28,2025-10-06 17:56:31,0,172.59.220.33,100,842,1,2025-10-06 17:56:31,R_5nAdstAJ3xXWCYM,,,,,35.2369,-80.8957,anonymous,EN,1,6,6,1,4,5,7,7,8,4,8,1,8,6,8,7,5,7,8,2,4,4,5,3,2,4,5,5,5,60bec2aeb32067ea868876ec,text
2025-10-06 17:56:09,2025-10-06 17:58:16,0,73.33.36.237,100,126,1,2025-10-06 17:58:16,R_1tg0wAGSwwn2P6j,,,,,39.4494,-74.7307,anonymous,EN,1,2,5,3,5,3,5,6,5,2,5,3,6,4,6,7,5,4,6,2,4,4,5,2,3,3,4,5,4,5a98d411f05361000171ebe7,text
2025-10-06 17:57:45,2025-10-06 18:01:03,0,71.150.221.208,100,197,1,2025-10-06 18:01:04,R_6rBNh11rSzyHAxV,,,,,32.8646,-96.7884,anonymous,EN,1,4,5,2,4,3,5,5,6,6,7,6,6,8,5,5,5,7,5,1,3,1,3,1,1,1,3,2,3,66553eb5f10b5700001d20de,voice
2025-10-06 17:56:09,2025-10-06 18:02:52,0,24.130.93.19,100,403,1,2025-10-06 18:02:53,R_1hcJFNJMKI12GGO,,,,,37.5742,-122.325,anonymous,EN,1,2,2,2,5,4,5,6,6,4,7,4,5,5,5,7,7,6,6,2,2,3,3,3,2,2,3,3,3,6759fa50a9bb240e423de357,voice
2025-10-06 17:56:46,2025-10-06 18:02:59,0,73.169.117.139,100,372,1,2025-10-06 18:02:59,R_1dS3WJ3rh8OkCWO,,,,,39.8294,-104.9095,anonymous,EN,1,1,1,1,6,6,6,5,7,7,6,3,7,7,7,6,6,7,7,4,4,5,5,4,5,5,4,4,5,610508c09d61c098f072605b,text
2025-10-06 18:01:10,2025-10-06 18:03:06,0,73.133.191.45,100,116,1,2025-10-06 18:03:06,R_7MsrBCmKnwXVuIS,,,,,39.2891,-76.5583,anonymous,EN,1,5,5,3,3,5,5,7,6,6,7,3,6,5,7,7,7,6,7,2,4,3,4,2,2,3,4,4,4,60fd6e6d7b35102b8ca961a5,voice
2025-10-06 18:03:14,2025-10-06 18:04:26,0,76.86.27.121,100,72,1,2025-10-06 18:04:26,R_7wi4KUZZFf53d2t,,,,,34.1449,-118.3887,anonymous,EN,1,2,2,1,7,7,7,7,7,7,5,6,8,8,7,7,7,7,7,6,6,6,5,5,6,6,6,6,5,62bb42e2f21cfdb280cc975f,text
